date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-08,BTC,29NOV19,8500,C,0.0965,74.68,1,8166.95,BTC-29NOV19-8500-C
2019-10-09,BTC,29NOV19,8500,C,0.12,75.44,4,8622.06,BTC-29NOV19-8500-C
2019-10-10,BTC,29NOV19,8500,C,0.1095,73.98,3,8479.97,BTC-29NOV19-8500-C
2019-10-11,BTC,29NOV19,8500,C,0.1025,74.99,9,8335.86,BTC-29NOV19-8500-C
2019-10-13,BTC,29NOV19,8500,C,0.0955,72.92,4,8301.68,BTC-29NOV19-8500-C
2019-10-14,BTC,29NOV19,8500,C,0.0925,70.84,4,8319.1,BTC-29NOV19-8500-C
2019-10-15,BTC,29NOV19,8500,C,0.0825,70.68,13,8153.78,BTC-29NOV19-8500-C
2019-10-16,BTC,29NOV19,8500,C,0.0685,69.23,12,7937.54,BTC-29NOV19-8500-C
2019-10-17,BTC,29NOV19,8500,C,0.0715,66.97,6,8079.64,BTC-29NOV19-8500-C
