date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-05-13,BTC,27DEC19,9000,P,0.3355,78.54,1,7896.63,BTC-27DEC19-9000-P
2019-05-14,BTC,27DEC19,9000,P,0.3375,82.54,2,7971.87,BTC-27DEC19-9000-P
2019-05-24,BTC,27DEC19,9000,P,0.3215,81.91,1,7958.63,BTC-27DEC19-9000-P
2019-05-25,BTC,27DEC19,9000,P,0.3155,82.58,1,8030.77,BTC-27DEC19-9000-P
2019-05-30,BTC,27DEC19,9000,P,0.263,82.22,1,8579.13,BTC-27DEC19-9000-P
2019-06-03,BTC,27DEC19,9000,P,0.25,77.97,6,8534.17,BTC-27DEC19-9000-P
2019-06-04,BTC,27DEC19,9000,P,0.35,80.11,4,7640.81,BTC-27DEC19-9000-P
2019-06-06,BTC,27DEC19,9000,P,0.315,74.0,2,7813.91,BTC-27DEC19-9000-P
2019-06-09,BTC,27DEC19,9000,P,0.299,73.02,5,7940.97,BTC-27DEC19-9000-P
2019-06-13,BTC,27DEC19,9000,P,0.2735,70.93,1,8124.07,BTC-27DEC19-9000-P
2019-06-16,BTC,27DEC19,9000,P,0.203,76.47,5,9024.89,BTC-27DEC19-9000-P
2019-06-17,BTC,27DEC19,9000,P,0.189,74.62,1,9235.84,BTC-27DEC19-9000-P
2019-06-18,BTC,27DEC19,9000,P,0.1965,77.06,1,9163.52,BTC-27DEC19-9000-P
2019-06-20,BTC,27DEC19,9000,P,0.183,76.72,5,9295.85,BTC-27DEC19-9000-P
2019-10-07,BTC,27DEC19,9000,P,0.2065,81.62,6,8237.85,BTC-27DEC19-9000-P
2019-10-09,BTC,27DEC19,9000,P,0.175,82.08,4,8589.37,BTC-27DEC19-9000-P
2019-10-10,BTC,27DEC19,9000,P,0.173,80.2,1,8566.42,BTC-27DEC19-9000-P
2019-10-11,BTC,27DEC19,9000,P,0.184,83.19,2,8493.33,BTC-27DEC19-9000-P
