date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-09,BTC,29NOV19,10500,C,0.043,78.67,2,8399.63,BTC-29NOV19-10500-C
2019-10-10,BTC,29NOV19,10500,C,0.0435,76.16,4,8577.8,BTC-29NOV19-10500-C
2019-10-11,BTC,29NOV19,10500,C,0.035,75.07,7,8331.84,BTC-29NOV19-10500-C
2019-10-12,BTC,29NOV19,10500,C,0.0335,74.78,2,8334.75,BTC-29NOV19-10500-C
2019-10-13,BTC,29NOV19,10500,C,0.038,76.44,5,8459.43,BTC-29NOV19-10500-C
2019-10-14,BTC,29NOV19,10500,C,0.03,72.42,8,8350.51,BTC-29NOV19-10500-C
2019-10-15,BTC,29NOV19,10500,C,0.0245,71.68,10,8180.74,BTC-29NOV19-10500-C
2019-10-16,BTC,29NOV19,10500,C,0.021,72.49,8,7993.69,BTC-29NOV19-10500-C
2019-10-17,BTC,29NOV19,10500,C,0.02,70.47,7,8085.31,BTC-29NOV19-10500-C
