date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-07,BTC,27MAR20,20000,C,0.036000000000000004,92.27,5,8242.7,BTC-27MAR20-20000-C
2019-10-08,BTC,27MAR20,20000,C,0.0325,90.33,1,8205.22,BTC-27MAR20-20000-C
2019-10-09,BTC,27MAR20,20000,C,0.039,92.79,5,8403.2,BTC-27MAR20-20000-C
2019-10-10,BTC,27MAR20,20000,C,0.038,91.14,10,8568.38,BTC-27MAR20-20000-C
2019-10-11,BTC,27MAR20,20000,C,0.035,91.16,6,8352.83,BTC-27MAR20-20000-C
2019-10-12,BTC,27MAR20,20000,C,0.038,93.32,2,8382.3,BTC-27MAR20-20000-C
2019-10-13,BTC,27MAR20,20000,C,0.035,92.65,1,8248.5,BTC-27MAR20-20000-C
2019-10-15,BTC,27MAR20,20000,C,0.03,89.22,1,8310.75,BTC-27MAR20-20000-C
2019-10-16,BTC,27MAR20,20000,C,0.025,88.98,2,7932.04,BTC-27MAR20-20000-C
2019-10-17,BTC,27MAR20,20000,C,0.027,89.66,1,8063.99,BTC-27MAR20-20000-C
