date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,25OCT19,8500,C,0.036000000000000004,73.51,8,7875.9,BTC-25OCT19-8500-C
2019-10-07,BTC,25OCT19,8500,C,0.049,69.78,14,8262.43,BTC-25OCT19-8500-C
2019-10-08,BTC,25OCT19,8500,C,0.042,67.86,7,8192.18,BTC-25OCT19-8500-C
2019-10-09,BTC,25OCT19,8500,C,0.061,65.71,37,8612.3,BTC-25OCT19-8500-C
2019-10-10,BTC,25OCT19,8500,C,0.0565,64.32,12,8586.28,BTC-25OCT19-8500-C
2019-10-11,BTC,25OCT19,8500,C,0.04,63.2,29,8330.38,BTC-25OCT19-8500-C
2019-10-12,BTC,25OCT19,8500,C,0.0365,61.57,8,8321.46,BTC-25OCT19-8500-C
2019-10-13,BTC,25OCT19,8500,C,0.034,63.23,33,8289.48,BTC-25OCT19-8500-C
2019-10-14,BTC,25OCT19,8500,C,0.031,59.68,40,8314.07,BTC-25OCT19-8500-C
2019-10-15,BTC,25OCT19,8500,C,0.0235,62.1,40,8163.8,BTC-25OCT19-8500-C
2019-10-16,BTC,25OCT19,8500,C,0.015,60.99,47,8005.85,BTC-25OCT19-8500-C
2019-10-17,BTC,25OCT19,8500,C,0.016,61.82,27,8079.93,BTC-25OCT19-8500-C
