date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,ETH,25OCT19,180,P,0.113,91.75,2,170.9,ETH-25OCT19-180-P
2019-10-07,ETH,25OCT19,180,P,0.07200000000000001,88.29,2,181.67,ETH-25OCT19-180-P
2019-10-08,ETH,25OCT19,180,P,0.069,86.98,5,181.6,ETH-25OCT19-180-P
2019-10-09,ETH,25OCT19,180,P,0.042,91.7,3,193.6,ETH-25OCT19-180-P
2019-10-10,ETH,25OCT19,180,P,0.039,86.99,1,192.93,ETH-25OCT19-180-P
2019-10-11,ETH,25OCT19,180,P,0.057,77.45,1,180.58,ETH-25OCT19-180-P
2019-10-12,ETH,25OCT19,180,P,0.052,74.58,4,180.9,ETH-25OCT19-180-P
2019-10-14,ETH,25OCT19,180,P,0.034,71.5,2,185.52,ETH-25OCT19-180-P
2019-10-15,ETH,25OCT19,180,P,0.051,79.09,5,179.94,ETH-25OCT19-180-P
2019-10-16,ETH,25OCT19,180,P,0.063,66.0,4,173.32,ETH-25OCT19-180-P
2019-10-17,ETH,25OCT19,180,P,0.05,71.8,3,177.03,ETH-25OCT19-180-P
