date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,18OCT19,8000,P,0.062,72.92,34,7846.26,BTC-18OCT19-8000-P
2019-10-07,BTC,18OCT19,8000,P,0.035,72.21,28,8230.56,BTC-18OCT19-8000-P
2019-10-08,BTC,18OCT19,8000,P,0.0315,66.39,16,8182.22,BTC-18OCT19-8000-P
2019-10-09,BTC,18OCT19,8000,P,0.0165,70.85,58,8559.53,BTC-18OCT19-8000-P
2019-10-10,BTC,18OCT19,8000,P,0.0135,69.29,31,8566.75,BTC-18OCT19-8000-P
2019-10-11,BTC,18OCT19,8000,P,0.019,62.05,106,8249.7,BTC-18OCT19-8000-P
2019-10-12,BTC,18OCT19,8000,P,0.012,59.22,23,8349.81,BTC-18OCT19-8000-P
2019-10-13,BTC,18OCT19,8000,P,0.0135,67.04,51,8314.27,BTC-18OCT19-8000-P
2019-10-14,BTC,18OCT19,8000,P,0.01,65.95,35,8326.63,BTC-18OCT19-8000-P
2019-10-15,BTC,18OCT19,8000,P,0.0105,60.46,45,8168.24,BTC-18OCT19-8000-P
2019-10-16,BTC,18OCT19,8000,P,0.0135,56.03,32,8002.37,BTC-18OCT19-8000-P
2019-10-17,BTC,18OCT19,8000,P,0.0045,67.25,51,8071.43,BTC-18OCT19-8000-P
