date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,ETH,18OCT19,190,C,0.021,75.09,1,173.3,ETH-18OCT19-190-C
2019-10-08,ETH,18OCT19,190,C,0.027,81.06,5,177.99,ETH-18OCT19-190-C
2019-10-09,ETH,18OCT19,190,C,0.06,81.39,8,193.98,ETH-18OCT19-190-C
2019-10-10,ETH,18OCT19,190,C,0.058,80.59,1,193.74,ETH-18OCT19-190-C
2019-10-11,ETH,18OCT19,190,C,0.017,66.86,22,181.1,ETH-18OCT19-190-C
2019-10-12,ETH,18OCT19,190,C,0.017,63.9,2,182.93,ETH-18OCT19-190-C
2019-10-13,ETH,18OCT19,190,C,0.023,81.48,1,182.67,ETH-18OCT19-190-C
