date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,18OCT19,7500,P,0.0385,83.69,17,7836.62,BTC-18OCT19-7500-P
2019-10-07,BTC,18OCT19,7500,P,0.016,75.36,23,8239.26,BTC-18OCT19-7500-P
2019-10-08,BTC,18OCT19,7500,P,0.0135,72.09,23,8209.47,BTC-18OCT19-7500-P
2019-10-09,BTC,18OCT19,7500,P,0.0065,77.79,35,8608.01,BTC-18OCT19-7500-P
2019-10-10,BTC,18OCT19,7500,P,0.0055,78.0,20,8586.39,BTC-18OCT19-7500-P
2019-10-11,BTC,18OCT19,7500,P,0.006,66.6,73,8238.27,BTC-18OCT19-7500-P
2019-10-12,BTC,18OCT19,7500,P,0.004,71.47,14,8401.25,BTC-18OCT19-7500-P
2019-10-13,BTC,18OCT19,7500,P,0.005,75.91,1,8331.8,BTC-18OCT19-7500-P
