date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,27MAR20,8000,P,0.222,82.97,2,7958.82,BTC-27MAR20-8000-P
2019-10-07,BTC,27MAR20,8000,P,0.203,84.31,5,8233.76,BTC-27MAR20-8000-P
2019-10-08,BTC,27MAR20,8000,P,0.2055,84.7,5,8179.86,BTC-27MAR20-8000-P
2019-10-09,BTC,27MAR20,8000,P,0.175,83.61,7,8561.3,BTC-27MAR20-8000-P
2019-10-10,BTC,27MAR20,8000,P,0.1765,83.94,6,8558.38,BTC-27MAR20-8000-P
2019-10-11,BTC,27MAR20,8000,P,0.192,84.36,10,8305.16,BTC-27MAR20-8000-P
2019-10-12,BTC,27MAR20,8000,P,0.184,82.05,2,8340.65,BTC-27MAR20-8000-P
