date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-11,ETH,25OCT19,170,P,0.031,79.74,3,182.44,ETH-25OCT19-170-P
2019-10-12,ETH,25OCT19,170,P,0.027999999999999997,76.27,5,181.54,ETH-25OCT19-170-P
2019-10-13,ETH,25OCT19,170,P,0.031,82.31,3,181.5,ETH-25OCT19-170-P
2019-10-14,ETH,25OCT19,170,P,0.018,78.46,3,186.75,ETH-25OCT19-170-P
2019-10-15,ETH,25OCT19,170,P,0.017,72.51,1,184.45,ETH-25OCT19-170-P
2019-10-16,ETH,25OCT19,170,P,0.032,76.8,11,175.26,ETH-25OCT19-170-P
2019-10-17,ETH,25OCT19,170,P,0.023,66.25,4,176.23,ETH-25OCT19-170-P
