date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,25OCT19,8000,P,0.0795,79.13,12,7870.24,BTC-25OCT19-8000-P
2019-10-07,BTC,25OCT19,8000,P,0.0505,73.31,43,8210.2,BTC-25OCT19-8000-P
2019-10-08,BTC,25OCT19,8000,P,0.05,72.6,24,8181.92,BTC-25OCT19-8000-P
2019-10-09,BTC,25OCT19,8000,P,0.0295,73.56,56,8597.15,BTC-25OCT19-8000-P
2019-10-10,BTC,25OCT19,8000,P,0.025,69.21,32,8596.83,BTC-25OCT19-8000-P
2019-10-11,BTC,25OCT19,8000,P,0.036000000000000004,68.72,27,8274.5,BTC-25OCT19-8000-P
2019-10-12,BTC,25OCT19,8000,P,0.0315,68.82,39,8336.0,BTC-25OCT19-8000-P
2019-10-13,BTC,25OCT19,8000,P,0.031,70.9,11,8359.04,BTC-25OCT19-8000-P
